Marca temporal,"Programa académico (Si hace doble carrera, escoja su carrera principal)",¿Cuántos días por semana utilizas herramientas de IA generativa para temas académicos?,"¿Hace cuántos meses aproximadamente empezaste a usar IA generativa para tus estudios? 
(Ponga su respuesta en números enteros, por favor)","De cada 10 trabajos o tareas académicas que entregas, ¿en cuántos usas IA generativa? ",¿Cuál es tu promedio académico acumulado actual?,¿Qué IA generativa utilizas con mayor regularidad? ,"Cuando utilizas IA para trabajos escritos, tu acción principal suele ser: ","¿Sueles verificar en fuentes externas (libros, bases de datos) la información o respuestas que genera la IA? ","En una escala del 1 al 10, ¿cómo calificarías tu nivel de dependencia de la IA para entregar tus trabajos a tiempo? "
10/3/2026 10:50:36,Ingeniería de Sistemas,6,12,8,4.3,Claude,Usarlo como base y reescribirlo,A veces,8
10/3/2026 10:50:58,Ingeniería de Sistemas,7,14,9,4.02,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,9
10/3/2026 10:51:06,Ingeniería de Sistemas,5,10,7,4.1,Claude,Usarlo como base y reescribirlo,A veces,7
10/3/2026 10:51:52,Ingeniería Industrial,3,8,5,3.9,Claude,Pedirle que evalúe y retroalimente un texto mío,Siempre,5
10/3/2026 10:52:00,Ingeniería de Sistemas,6,11,8,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,8
10/3/2026 10:52:35,Ingeniería de Sistemas,7,15,9,3.66,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,9
10/3/2026 10:52:55,Ingeniería de Sistemas,2,6,3,4.2,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,3
10/3/2026 10:53:04,Ingeniería de Sistemas,5,9,7,4,Claude,Usarlo como base y reescribirlo,A veces,7
10/3/2026 10:53:22,Ingeniería de Sistemas,6,13,8,4.4,Claude,Usarlo como base y reescribirlo,A veces,8
10/3/2026 10:54:10,Ingeniería Bioquímica,3,7,5,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,5
10/3/2026 10:54:18,Ingeniería de Sistemas,7,16,10,3.61,Claude,Copiar y pegar directamente el texto generado,Nunca,10
10/3/2026 10:54:40,Ingeniería de Sistemas,4,9,6,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,6
10/3/2026 10:55:01,Ingeniería Industrial,4,10,6,4.1,Claude,Usarlo como base y reescribirlo,A veces,6
12/3/2026 14:40:10,Ingeniería de Sistemas,4,8,6,4.1,Gemini,Usarlo como base y reescribirlo,A veces,6
12/3/2026 14:40:31,Ingeniería de Sistemas,5,11,7,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,7
12/3/2026 14:40:55,Diseño de Medios Interactivos,5,10,7,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,7
12/3/2026 14:40:59,Ingeniería de Sistemas,6,12,8,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,8
12/3/2026 14:41:11,Ingeniería en Energía Inteligente,3,7,5,4,Gemini,Usarlo como base y reescribirlo,A veces,5
12/3/2026 14:41:20,Ingeniería de Sistemas,7,18,10,4.04,ChatGPT,Copiar y pegar directamente el texto generado,Nunca,10
12/3/2026 14:41:33,Ingeniería de Sistemas,5,9,7,4.1,Claude,Usarlo como base y reescribirlo,A veces,7
12/3/2026 14:42:05,Química Farmacéutica,3,6,4,4,ChatGPT,Usarlo como base y reescribirlo,A veces,4
12/3/2026 14:42:09,Ingeniería de Sistemas,6,13,8,4.3,ChatGPT,Usarlo como base y reescribirlo,A veces,8
12/3/2026 14:42:12,Ingeniería Industrial,3,7,5,3.8,Gemini,Usarlo como base y reescribirlo,A veces,5
12/3/2026 14:42:39,Ingeniería de Sistemas,4,8,6,4,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,6
12/3/2026 14:43:02,Ingeniería Bioquímica,2,6,4,3.9,Gemini,Pedirle que evalúe y retroalimente un texto mío,Siempre,4
12/3/2026 14:44:05,Ingeniería de Sistemas,6,14,8,4.4,ChatGPT,Usarlo como base y reescribirlo,A veces,8
12/3/2026 14:44:17,Diseño Industrial,3,8,5,4,Claude,Usarlo como base y reescribirlo,A veces,5
12/3/2026 14:44:23,Ingeniería de Sistemas,5,11,7,4.2,ChatGPT,Usarlo como base y reescribirlo,A veces,7
12/3/2026 14:44:49,Ingeniería en Energía Inteligente,3,9,5,4.1,ChatGPT,Usarlo como base y reescribirlo,A veces,5
12/3/2026 14:44:57,Diseño de Medios Interactivos,4,10,6,4.1,DeepSeek,Usarlo como base y reescribirlo,A veces,6
20/3/2026 10:10:54,Ingeniería de Sistemas,7,24,10,4.2,Claude,Copiar y pegar directamente el texto generado,Nunca,9
20/3/2026 10:11:09,Ingeniería de Sistemas,4,12,6,4.4,Claude,Usarlo como base y reescribirlo,Siempre,7
20/3/2026 10:11:36,Ingeniería de Sistemas,5,12,5,4,Gemini,Usarlo como base y reescribirlo,A veces,8
20/3/2026 10:11:37,Ingeniería Industrial,4,18,6,3.8,Claude,Usarlo como base y reescribirlo,A veces,6
