Variable,Categoría,Frecuencia absoluta,Frecuencia relativa,Porcentaje,Gráfico
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Ingeniería de Sistemas,43,0.43,43.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Ingeniería Industrial,14,0.14,14.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Diseño Industrial,14,0.14,14.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Química Farmacéutica,12,0.12,12.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Ingeniería Bioquímica,9,0.09,9.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Diseño de Medios Interactivos,3,0.03,3.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Ingeniería en Energía Inteligente,3,0.03,3.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Biología,1,0.01,1.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
"Programa académico (Si hace doble carrera, escoja su carrera principal)",Medicina Veterinaria y Zootecnia,1,0.01,1.0,resultados_proyecto\barras_Programa_académico_Si_hace_doble_carrera_escoja_su_carrera_principal.png
¿Qué IA generativa utilizas con mayor regularidad?,Claude,34,0.34,34.0,resultados_proyecto\barras_Qué_IA_generativa_utilizas_con_mayor_regularidad.png
¿Qué IA generativa utilizas con mayor regularidad?,ChatGPT,30,0.3,30.0,resultados_proyecto\barras_Qué_IA_generativa_utilizas_con_mayor_regularidad.png
¿Qué IA generativa utilizas con mayor regularidad?,Gemini,13,0.13,13.0,resultados_proyecto\barras_Qué_IA_generativa_utilizas_con_mayor_regularidad.png
¿Qué IA generativa utilizas con mayor regularidad?,Copilot,10,0.1,10.0,resultados_proyecto\barras_Qué_IA_generativa_utilizas_con_mayor_regularidad.png
¿Qué IA generativa utilizas con mayor regularidad?,Notebook LM,5,0.05,5.0,resultados_proyecto\barras_Qué_IA_generativa_utilizas_con_mayor_regularidad.png
